,lung_weight
A375,0.029409473455209195
A549,0.029409473455209195
ASC,0.029409473455209195
ASC.C,0.029409473455209195
BT20,0.029409473455209195
CD34,0.029409473455209195
HA1E,0.029409473455209195
HCC515,0.029409473455209195
HELA,0.029409473455209195
HEPG2,0.029409473455209195
HME1,0.029409473455209195
HS578T,0.029409473455209195
HT29,0.05892624624845781
HUES3,0.029409473455209195
HUVEC,0.029409473455209195
JURKAT,0.046408459143787405
LNCAP,0.029409473455209195
MCF10A,0.029409473455209195
MCF7,0.07530665972353941
MDAMB231,0.029409473455209195
MNEU.E,0.029409473455209195
NEU,0.029409473455209195
NPC,0.029409473455209195
NPC.CAS9,0.029409473455209195
NPC.TAK,0.029409473455209195
PC3,0.054712325048776114
SKBR3,0.029409473455209195
SKL,0.029409473455209195
SKL.C,0.029409473455209195
YAPC,0.029409473455209195
