drug,point_rank,median_rank,ci_lo_95,ci_hi_95,rank_stability
STA-5326,1,941,47,1742,502.7
cepharanthine,2,990,51,1741,507.3
trametinib,3,990,40,1732,512.8
orlistat,4,1081,87,1748,481.3
WH-4-025,5,1009,55,1730,502.0
atorvastatin,6,1001,62,1729,513.1
fluspirilene,7,992,66,1732,476.5
AT7867,8,1045,53,1749,508.0
bafilomycin a1,9,1047,96,1752,488.5
cediranib,10,1087,52,1744,514.3
D-4476,11,965,51,1726,488.8
JNJ-26481585,12,1031,55,1742,514.4
romidepsin,13,1053,54,1743,513.8
dacinostat,14,1012,47,1740,514.1
nintedanib,15,995,45,1731,512.7
PD-0325901,16,845,27,1703,501.3
BI-2536,17,913,51,1737,515.1
sunitinib,18,702,13,1666,500.5
WZ-4-145,19,996,55,1741,515.3
trichostatin-a,20,962,43,1734,516.2
I-BET-151,21,800,39,1705,507.1
I-BET-762,22,869,40,1720,505.2
YM-201636,23,1061,92,1746,491.4
pitavastatin,24,1271,115,1755,499.9
NVP-TAE684,25,1081,80,1745,506.3
