drug,net_trace_cos,emp_pval,bh_fdr,fdr_sig
STA-5326,0.20082670717979192,0.0,0.0,True
WH-4-025,0.16734850680897076,0.0001,0.005,True
cepharanthine,0.16076731887036347,0.0003,0.01,True
cediranib,0.1416012726796049,0.0006,0.011666666666666667,True
atorvastatin,0.15749340093295272,0.0006,0.011666666666666667,True
orlistat,0.13581541787759643,0.0007,0.011666666666666667,True
trametinib,0.14983672464796383,0.0009,0.0125,True
AT7867,0.1445139471151673,0.001,0.0125,True
BI-2536,0.12820789674066543,0.0017,0.018,True
fluspirilene,0.14076654803754893,0.0018,0.018,True
pitavastatin,0.12431977218400851,0.0021,0.01909090909090909,True
bafilomycin a1,0.12835723382367423,0.0036,0.028518518518518516,True
nintedanib,0.13437059090050976,0.0047,0.028518518518518516,True
romidepsin,0.10987606849136093,0.0048,0.028518518518518516,True
NVP-TAE684,0.11653379564178092,0.0049,0.028518518518518516,True
WZ-4-145,0.13427310312121957,0.0051,0.028518518518518516,True
trichostatin-a,0.11725308174351098,0.0057,0.028518518518518516,True
vandetanib,0.10971935237413923,0.0057,0.028518518518518516,True
VP-20629,0.10808395088296938,0.0062,0.028518518518518516,True
PD-0325901,0.13748660538237767,0.0064,0.028518518518518516,True
D-4476,0.11632963197601054,0.0064,0.028518518518518516,True
JNJ-26481585,0.11117167749348641,0.0067,0.028518518518518516,True
KW-2478,0.1358018836609174,0.007,0.028518518518518516,True
afatinib,0.12996504103747233,0.007,0.028518518518518516,True
dacinostat,0.11161358055237741,0.0073,0.028518518518518516,True
clonazepam,0.10349655328810559,0.0077,0.028518518518518516,True
AEE-788,0.105465165574255,0.0077,0.028518518518518516,True
YM-201636,0.10754857792281348,0.008,0.02857142857142857,True
dasatinib,0.11516655192364478,0.0115,0.03774193548387097,True
sunitinib,0.12798074731311343,0.0116,0.03774193548387097,True
volasertib,0.09267686325203967,0.0117,0.03774193548387097,True
I-BET-762,0.10592860268070742,0.0129,0.0403125,True
dacomitinib,0.11987391048831321,0.0137,0.04142857142857143,True
proglumide,0.10792799390550138,0.0143,0.04142857142857143,True
NVP-AUY922,0.11446030528469235,0.0145,0.04142857142857143,True
I-BET-151,0.10645183790595072,0.0173,0.04805555555555555,True
geldanamycin,0.09223276678147972,0.0197,0.05263157894736842,False
rufinamide,0.09574679807467264,0.02,0.05263157894736842,False
AZD-8330,0.10633814904962079,0.0209,0.05358974358974358,False
simvastatin,0.10696690485392396,0.0217,0.05414634146341464,False
PF-02545920,0.08173979956753522,0.0222,0.05414634146341464,False
JQ1-(+),0.08851926065606788,0.0237,0.056428571428571425,False
CC-930,0.08079013346997443,0.0243,0.05651162790697674,False
clonidine,0.11158099481618242,0.027,0.05924528301886792,False
fomocaine,0.10365593107429523,0.029,0.05924528301886792,False
radicicol,0.07970536433525494,0.0298,0.05924528301886792,False
gallopamil,0.10368226282503377,0.0303,0.05924528301886792,False
selumetinib,0.09950629601012635,0.0303,0.05924528301886792,False
osimertinib,0.08990859477483285,0.0304,0.05924528301886792,False
XMD-885,0.07477014591634011,0.031,0.05924528301886792,False
AST-1306,0.09889529136154164,0.0311,0.05924528301886792,False
KN-62,0.1044314476215603,0.0313,0.05924528301886792,False
alvespimycin,0.093460371529779,0.0314,0.05924528301886792,False
riluzole,0.07494498032537598,0.0328,0.06074074074074074,False
XMD11-85H,0.06268549043488449,0.0339,0.06163636363636363,False
AT-13387,0.08241305011126598,0.0348,0.06214285714285713,False
Ro-4987655,0.09190910283689399,0.0372,0.06290322580645161,False
PHA-848125,0.0789578032558988,0.038,0.06290322580645161,False
tipifarnib-P2,0.06612251994825753,0.0384,0.06290322580645161,False
pravastatin,0.06074953250760838,0.0385,0.06290322580645161,False
ganetespib,0.08585276987631843,0.0386,0.06290322580645161,False
AS-605240,0.09486838966793863,0.039,0.06290322580645161,False
VE-821,0.08926301641967986,0.0409,0.06328358208955223,False
XL-888,0.07897474781150393,0.0414,0.06328358208955223,False
NVP-BHG712,0.07432532041470465,0.0419,0.06328358208955223,False
baricitinib,0.09190630604309763,0.0422,0.06328358208955223,False
tanespimycin,0.09770516574503957,0.0424,0.06328358208955223,False
triflupromazine,0.06959876527188769,0.0476,0.07,False
AP-26113,0.08052953608586236,0.0486,0.07043478260869565,False
saracatinib,0.09003060018658063,0.0538,0.07685714285714286,False
mizolastine,0.08536987106912686,0.0608,0.08563380281690142,False
XMD-892,0.08092495127036485,0.0624,0.08608108108108109,False
neratinib,0.08474410477496577,0.0629,0.08608108108108109,False
darapladib,0.08071863929419736,0.0637,0.08608108108108109,False
NVP-TAE226,0.0674056450411173,0.0657,0.0876,False
UNC-0638,0.09624341589740798,0.0667,0.08776315789473683,False
licarbazepine,0.061887314183305564,0.0683,0.0887012987012987,False
TAK-733,0.07303473843679127,0.0732,0.09237499999999998,False
MG-132,0.058813329783248554,0.0738,0.09237499999999998,False
pimavanserin,0.0895106563082113,0.0739,0.09237499999999998,False
rosuvastatin,0.10389147749644001,0.0754,0.09261904761904761,False
ST-1859,0.07542284960677262,0.076,0.09261904761904761,False
S-ruxolitinib,0.09550654320477994,0.0771,0.09261904761904761,False
brexpiprazole,0.08860332043424893,0.0778,0.09261904761904761,False
valdecoxib,0.0780196236025386,0.08,0.09411764705882353,False
BIBX-1382,0.0765591402539798,0.082,0.09534883720930233,False
metronidazole,0.06827288976210692,0.0865,0.09942528735632183,False
cobimetinib,0.0747173987646322,0.0954,0.1081111111111111,False
MK-2461,0.07179130791498842,0.0967,0.1081111111111111,False
TG-101348,0.08637884660770438,0.0973,0.1081111111111111,False
GDC-0941,0.07436938935308582,0.1051,0.11549450549450549,False
tie2-kinase-inhibitor,0.08659024375176141,0.1072,0.11652173913043479,False
HG-14-10-04,0.05897209957211856,0.1126,0.1210752688172043,False
PK-11195,0.059821783411154135,0.1165,0.1228421052631579,False
canertinib,0.07542702984118149,0.1167,0.1228421052631579,False
vorinostat,0.05945085612502313,0.1189,0.12385416666666668,False
efatutazone,0.04248012335452874,0.136,0.1402061855670103,False
SB-525334,0.0798763012341838,0.1472,0.15020408163265306,False
lonidamine,0.06951855451466733,0.2033,0.20535353535353537,False
doxofylline,0.07646561543978031,0.2075,0.2075,False
