drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
STA-5326,0.7501414027149321,0.1646287206202187,0.0,0.0,0.0,7,-0.1409925093632958,1
cepharanthine,0.7498585972850679,0.1203411059604048,0.0,0.0,0.0,7,-0.1260486891385768,2
trametinib,0.7495757918552036,0.1170342181440016,0.0,0.0,0.0,13,-0.1500374531835206,3
orlistat,0.7492929864253394,0.1159934148203403,0.0,0.0,0.0,7,0.0,4
WH-4-025,0.7490101809954751,0.1141349760442371,0.0,0.0,0.0,13,-0.0950749063670412,5
atorvastatin,0.7487273755656109,0.1114189474139403,0.0,0.0,0.0,7,-0.0923033707865168,6
fluspirilene,0.7484445701357466,0.1061045476870299,0.0,0.0,0.0,7,-0.1425093632958801,7
AT7867,0.7481617647058824,0.1059524010112165,0.0,0.0,0.0,22,-0.1440823970037453,8
bafilomycin a1,0.7478789592760181,0.1028006358958682,0.0,0.0,0.0,5,0.0,9
cediranib,0.7475961538461539,0.1010110870751417,0.0,0.0,0.0,7,-0.132378277153558,10
D-4476,0.7473133484162896,0.0976207984674886,0.0,0.0,0.0,21,-0.1293258426966292,11
JNJ-26481585,0.7470305429864253,0.0949286646412464,0.0,0.0,0.0,7,0.0,12
romidepsin,0.7467477375565611,0.0947847353198309,0.0,0.0,0.0,7,-0.1301872659176029,13
dacinostat,0.7464649321266968,0.0939366356035574,0.0,0.0,0.0,7,0.0,14
PD-0325901,0.7458993212669683,0.0931302568835778,0.0,0.0,0.0,30,-0.1215355805243445,16
BI-2536,0.7456165158371041,0.0924666501319442,0.0,0.0,0.0,27,-0.1488951310861423,17
sunitinib,0.7453337104072398,0.0909455991497725,0.0,0.0,0.0,22,-0.168314606741573,18
WZ-4-145,0.7450509049773756,0.0895181958295982,0.0,0.0,0.0,15,-0.115936329588015,19
trichostatin-a,0.7447680995475113,0.089475273741222,0.0,0.0,0.0,5,-0.1726779026217228,20
I-BET-151,0.7444852941176471,0.0840622144943785,0.0,0.0,0.0,19,-0.1228089887640448,21
I-BET-762,0.7442024886877828,0.0839942211745074,0.0,0.0,0.0,21,-0.1233895131086142,22
YM-201636,0.7439196832579186,0.0833412168818309,0.0,0.0,0.0,13,-0.078314606741573,23
pitavastatin,0.7436368778280543,0.0822129302343493,0.0,0.0,0.0,7,-0.0962921348314607,24
NVP-TAE684,0.7433540723981901,0.0821504791910466,0.0,0.0,0.0,15,-0.0932022471910112,25
AEE-788,0.7430712669683258,0.0818801731116724,0.0,0.0,0.0,7,-0.1063670411985018,26
dasatinib,0.7427884615384616,0.0813840538612186,0.0,0.0,0.0,30,-0.0929026217228464,27
dacomitinib,0.7425056561085973,0.0793806955605177,0.0,0.0,0.0,24,-0.0819662921348314,28
rufinamide,0.742222850678733,0.0793000076794316,0.0,0.0,0.0,7,-0.0884831460674157,29
afatinib,0.7419400452488687,0.079279379634215,0.0,0.0,0.0,17,-0.1349438202247191,30
KW-2478,0.7416572398190044,0.0769015050286314,0.0,0.0,0.0,7,-0.1191947565543071,31
AZD-8330,0.7413744343891402,0.0764236811305565,0.0,0.0,0.0,15,-0.1047191011235955,32
JQ1-(+),0.7410916289592759,0.07565793584196,0.0,0.0,0.0,19,-0.0939138576779026,33
VP-20629,0.7408088235294117,0.0754508805904667,0.0,0.0,0.0,7,-0.1169101123595505,34
AST-1306,0.7405260180995474,0.0749161705699212,0.0,0.0,0.0,22,-0.0656554307116105,35
vandetanib,0.7402432126696832,0.0743649091657052,0.0,0.0,0.0,24,-0.1098501872659176,36
KN-62,0.7399604072398189,0.0723036970694837,0.0,0.0,0.0,5,-0.1010674157303371,37
selumetinib,0.7396776018099547,0.0698489095238831,0.0,0.0,0.0,18,-0.080131086142322,38
simvastatin,0.7393947963800904,0.0684920594655081,0.0,0.0,0.0,7,0.0,39
AS-605240,0.7391119909502262,0.0673550714064886,0.0,0.0,0.0,17,0.0,40
rosuvastatin,0.7388291855203619,0.0673281329537973,0.0,0.0,0.0,7,-0.0755617977528089,41
proglumide,0.7385463800904977,0.066816620874361,0.0,0.0,0.0,7,-0.0910861423220974,42
fomocaine,0.7382635746606334,0.0667647078988136,0.0,0.0,0.0,7,-0.0769101123595505,43
NVP-BHG712,0.7379807692307692,0.0653904600293584,0.0,0.0,0.0,19,-0.0853932584269663,44
clonidine,0.7376979638009049,0.0640070262280149,0.0,0.0,0.0,7,-0.10812734082397,45
PF-02545920,0.7374151583710407,0.0640014252633736,0.0,0.0,0.0,7,-0.0678464419475655,46
NVP-AUY922,0.7371323529411764,0.0637161588420081,0.0,0.0,0.0,13,-0.0894756554307116,47
triflupromazine,0.7368495475113122,0.0634034986299502,0.0,0.0,0.0,7,0.0,48
volasertib,0.7365667420814479,0.0626717493025158,0.0,0.0,0.0,7,-0.134625468164794,49
Ro-4987655,0.7362839366515836,0.0614380132917211,0.0,0.0,0.0,7,-0.1035767790262172,50
XMD-892,0.7360011312217194,0.0606307297187191,0.0,0.0,0.0,19,-0.1168913857677902,51
